거래금액,거래유형,건축년도,년,단지,매도자,매수자,법정동,시군구,월세금액,월,일,전용면적,중개사소재지,지번,지역코드,층
"37,000", ,2008,2021,광화문 스페이스본, , , 사직동,종로구,존재하지 않음,2,6,39.54, ,9,11110,5
"37,000", ,2008,2021,광화문 스페이스본, , , 사직동,종로구,존재하지 않음,2,6,39.54, ,9,11110,5
"35,600", ,2008,2021,광화문 스페이스본, , , 사직동,종로구,존재하지 않음,2,24,39.54, ,9,11110,7
"36,000", ,2004,2021,용비어천가, , , 내수동,종로구,존재하지 않음,2,3,45.98, ,75,11110,15
"45,200", ,2004,2021,광화문시대, , , 내수동,종로구,존재하지 않음,2,8,48.86, ,74,11110,8
"34,000", ,2004,2021,경희궁의 아침 4단지, , , 내수동,종로구,존재하지 않음,2,15,41.74, ,73,11110,7
"26,500", ,2004,2021,경희궁의 아침 2단지, , , 내수동,종로구,존재하지 않음,2,18,32.43, ,71,11110,4
"60,000", ,2004,2021,경희궁의 아침 3단지, , , 내수동,종로구,존재하지 않음,2,23,63.1, ,72,11110,7
"29,400", ,2004,2021,경희궁의 아침 3단지, , , 내수동,종로구,존재하지 않음,2,24,37.5, ,72,11110,5
"31,000", ,2004,2021,용비어천가, , , 내수동,종로구,존재하지 않음,2,25,37.56, ,75,11110,8
"62,700", ,2004,2021,경희궁의 아침 3단지, , , 내수동,종로구,존재하지 않음,2,26,71.01, ,72,11110,9
"51,000", ,2004,2021,용비어천가, , , 내수동,종로구,존재하지 않음,2,26,58.92, ,75,11110,13
"143,000", ,2020,2021,디팰리스, , , 신문로2가,종로구,존재하지 않음,2,8,79.723, ,171,11110,5
"67,000", ,2007,2021,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,2,10,96.92, ,24,11110,11
"110,000", ,2007,2021,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,2,15,152.95, ,24,11110,11
"69,500", ,2007,2021,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,2,15,96.92, ,24,11110,10
"28,800", ,2007,2021,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,2,17,36.23, ,24,11110,18
"32,060", ,2008,2021,종로1가 대성스카이렉스, , , 견지동,종로구,존재하지 않음,2,26,40.45, ,110,11110,12
"17,000", ,2004,2021,BIZ-WELL 종로 오피스텔, , , 익선동,종로구,존재하지 않음,2,26,27.4, ,34,11110,10
"32,000", ,2005,2021,운현궁 에스케이 허브, , , 경운동,종로구,존재하지 않음,2,1,41.12, ,89-4,11110,7
"32,000", ,2005,2021,운현궁 에스케이 허브, , , 경운동,종로구,존재하지 않음,2,1,41.12, ,89-4,11110,7
"31,500", ,2005,2021,운현궁 에스케이 허브, , , 경운동,종로구,존재하지 않음,2,6,41.94, ,89-4,11110,8
"14,900", ,1994,2021,종로오피스텔, , , 낙원동,종로구,존재하지 않음,2,8,25.2, ,58-1,11110,12
"47,000", ,2006,2021,효성주얼리시티, , , 인의동,종로구,존재하지 않음,2,8,66.85, ,48-2,11110,4
"25,900", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.68, ,231,11110,14
"26,200", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.68, ,231,11110,14
"26,200", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.68, ,231,11110,14
"23,300", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,2
"23,300", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,2
"23,700", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,2
"23,700", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,2
"23,700", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,3
"23,900", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,3
"23,900", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,4
"23,900", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,6
"23,900", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,7
"24,000", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,8
"24,100", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,4
"24,100", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,5
"24,100", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,7
"25,900", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.68, ,231,11110,14
"23,700", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,3
"23,900", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,3
"23,900", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,4
"23,900", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,5
"24,100", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,4
"24,100", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,5
"23,900", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,5
"24,100", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,6
"23,900", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,6
"23,900", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,7
"24,100", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,6
"24,000", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,8
"24,100", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,7
"24,200", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,8
"24,200", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,8
"24,900", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,9
"24,900", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,10
"24,900", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,10
"25,000", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,11
"25,000", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,11
"25,000", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,12
"25,200", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,9
"25,200", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,9
"25,200", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,10
"25,200", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,10
"25,200", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,13
"25,400", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,11
"25,400", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,12
"25,500", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,19.69, ,231,11110,13
"25,800", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,21.41, ,231,11110,2
"25,800", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,21.41, ,231,11110,2
"25,800", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,21.41, ,231,11110,3
"25,800", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,21.41, ,231,11110,3
"26,000", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,21.41, ,231,11110,5
"26,000", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,21.41, ,231,11110,5
"26,000", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,21.41, ,231,11110,7
"26,000", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,21.41, ,231,11110,7
"26,200", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,21.41, ,231,11110,4
"26,200", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,21.41, ,231,11110,4
"26,200", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,21.41, ,231,11110,6
"26,200", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,21.41, ,231,11110,6
"26,300", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,21.41, ,231,11110,8
"26,300", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,21.41, ,231,11110,8
"26,900", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,21.41, ,231,11110,9
"26,900", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,21.41, ,231,11110,9
"27,000", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,21.41, ,231,11110,11
"27,000", ,2021,2021,대보 마로니에시티, , , 연지동,종로구,존재하지 않음,2,5,21.41, ,231,11110,11
