갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
사용,2008,갱신,21.07~23.07,2021,광화문 스페이스본,사직동,"30,450",종로구,6,0,11,39.54,"29,000", ,9,11110,8
 ,2008,갱신,21.07~22.07,2021,광화문 스페이스본,사직동,"1,000",종로구,6,105,19,39.54,"1,000",105,9,11110,8
 ,2004,신규,21.07~23.07,2021,광화문시대,내수동,"24,000",종로구,6,0,1,34.9, , ,74,11110,5
 ,2004,신규,21.06~22.06,2021,경희궁의 아침 2단지,내수동,"1,000",종로구,6,75,8,28.9, , ,71,11110,9
 ,2004,신규,21.08~23.08,2021,용비어천가,내수동,"1,000",종로구,6,100,15,37.56, , ,75,11110,15
 ,2004,갱신,21.06~23.06,2021,광화문시대,내수동,"1,000",종로구,6,85,20,32.97,"1,000",80,74,11110,16
 ,2004,신규,21.07~22.07,2021,용비어천가,내수동,"1,000",종로구,6,75,24,30.36, , ,75,11110,4
 ,2004,신규,21.06~22.06,2021,용비어천가,내수동,"1,000",종로구,6,75,25,30.36, , ,75,11110,6
 ,2004,신규, ,2021,용비어천가,내수동,"1,000",종로구,6,105,26,43.67, , ,75,11110,10
 ,2004,신규,21.08~23.08,2021,용비어천가,내수동,"26,200",종로구,6,0,26,37.56, , ,75,11110,9
 ,2020,신규,21.06~23.06,2021,디팰리스,신문로2가,"135,000",종로구,6,120,1,126.13, , ,171,11110,6
 ,2020,신규,21.08~23.08,2021,디팰리스,신문로2가,"85,000",종로구,6,0,23,52.11, , ,171,11110,7
 ,2020,신규,21.07~22.09,2021,디팰리스,신문로2가,"3,000",종로구,6,200,26,43.14, , ,171,11110,3
 ,2004,신규,21.07~22.07,2021,두산위브파빌리온,수송동,"1,000",종로구,6,95,29,37.42, , ,58,11110,12
 ,2007,신규,21.06~22.06,2021,르메이에르종로타운1,종로1가,"2,000",종로구,6,110,15,45.41, , ,24,11110,11
 ,2004,신규,21.06~22.06,2021,BIZ-WELL 종로 오피스텔,익선동,"1,000",종로구,6,50,4,17.2, , ,34,11110,8
 ,2004,신규,21.07~22.07,2021,BIZ-WELL 종로 오피스텔,익선동,500,종로구,6,50,25,18.89, , ,34,11110,3
 ,2004,신규,21.07~22.07,2021,BIZ-WELL 종로 오피스텔,익선동,"1,000",종로구,6,55,26,23.42, , ,34,11110,5
 ,2004,신규,21.06~22.06,2021,BIZ-WELL 종로 오피스텔,익선동,500,종로구,6,50,30,17.2, , ,34,11110,8
 ,2005,신규,21.07~22.07,2021,운현궁 에스케이 허브,경운동,"1,000",종로구,6,100,14,41.12, , ,89-4,11110,6
 ,2005,신규,21.07~22.07,2021,종로1번가,관철동,"1,000",종로구,6,70,4,23.98, , ,155,11110,5
 ,2019,신규,21.07~23.07,2021,로얄파크뷰,연지동,"2,000",종로구,6,90,12,37.31, , ,238-5,11110,5
 ,2020,신규,21.06~22.06,2021,센트럴시티대학로,효제동,"2,000",종로구,6,60,4,17.28, , ,167,11110,9
 ,2017,신규,21.07~23.02,2021,포레스트힐시티,효제동,"10,000",종로구,6,41,28,23.24, , ,65-2,11110,5
 ,2021, ,21.07~22.07,2021,(255-1),창신동,"21,000",종로구,6,0,29,15.59, , ,255-1,11110,7
 ,2004,신규,21.06~23.05,2021,종로대우디오빌,숭인동,"13,000",종로구,6,0,1,36.87, , ,310,11110,11
 ,2013,신규,21.06~22.06,2021,그레이스탑,숭인동,"3,000",종로구,6,40,1,23.01, , ,178-94,11110,5
 ,2005,신규,21.08~23.08,2021,동양파라빌,숭인동,"13,000",종로구,6,0,2,27.09, , ,1388,11110,14
 ,2020,신규,21.06~23.06,2021,블루카운티 숭인Ⅰ,숭인동,"23,000",종로구,6,0,2,26.97, , ,217-16,11110,4
 ,2005,신규,21.06~22.06,2021,경일오피스텔,숭인동,"3,000",종로구,6,43,2,25.6, , ,1367,11110,14
 ,2020, , ,2021,(317-29),숭인동,100,종로구,6,26,3,18.74, , ,317-29,11110,4
 ,2020, , ,2021,(317-29),숭인동,100,종로구,6,27,3,18.74, , ,317-29,11110,6
 ,2005,신규,21.06~22.06,2021,경일오피스텔,숭인동,"1,000",종로구,6,45,3,18.82, , ,1367,11110,6
 ,2020,신규,21.06~23.09,2021,(317-29),숭인동,100,종로구,6,31,3,22.38, , ,317-29,11110,5
 ,2020,신규,21.06~23.06,2021,(317-29),숭인동,"21,000",종로구,6,0,3,19.96, , ,317-29,11110,9
사용,2013,갱신,21.06~23.06,2021,(1392),숭인동,"12,600",종로구,6,0,5,20.18,"12,000", ,1392,11110,9
 ,2005,신규,21.06~22.06,2021,경일오피스텔,숭인동,"3,000",종로구,6,38,5,20.14, , ,1367,11110,9
 ,2020, ,21.06~23.06,2021,헤스티아,숭인동,"11,000",종로구,6,0,7,15.28, , ,317-48,11110,15
 ,2019, , ,2021,케이디오피스텔,숭인동,"12,000",종로구,6,18,8,18.18, , ,217-26,11110,6
 ,2005,신규,21.06~22.06,2021,동양파라빌,숭인동,"1,000",종로구,6,55,9,24.93, , ,1388,11110,8
