갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,1998,신규,21.12~22.11,2021,파크뷰타워,필운동,"1,000",종로구,11,60,8,25.86, , ,285-5,11110,6
 ,1998,신규,21.11~22.11,2021,파크뷰타워,필운동,700,종로구,11,50,9,23.24, , ,285-5,11110,4
 ,1998,신규,21.12~22.12,2021,파크뷰타워,필운동,"1,000",종로구,11,55,13,21.85, , ,285-5,11110,7
 ,2004,신규,21.12~23.12,2021,경희궁의 아침 3단지,내수동,"27,000",종로구,11,0,6,37.5, , ,72,11110,12
 ,2004,신규,21.11~23.11,2021,경희궁의 아침 3단지,내수동,"25,000",종로구,11,0,10,37.5, , ,72,11110,15
 ,2004,신규,22.01~24.01,2021,용비어천가,내수동,"26,000",종로구,11,0,10,41.34, , ,75,11110,5
 ,2004,갱신,21.11~23.11,2021,경희궁의 아침 2단지,내수동,"34,100",종로구,11,0,15,46.84,"32,500", ,71,11110,13
 ,2004, , ,2021,용비어천가,내수동,"1,000",종로구,11,90,17,37.56, , ,75,11110,4
 ,2004,신규,21.12~22.12,2021,용비어천가,내수동,"2,000",종로구,11,150,19,58.92, , ,75,11110,3
 ,2004,신규,21.12~22.11,2021,경희궁의 아침 2단지,내수동,"1,000",종로구,11,70,20,25.51, , ,71,11110,15
 ,2004,신규,21.12~22.12,2021,경희궁의 아침 2단지,내수동,"1,000",종로구,11,73,23,25.51, , ,71,11110,11
 ,2004,갱신,21.12~22.06,2021,경희궁의 아침 2단지,내수동,"24,000",종로구,11,0,24,32.43,"23,000", ,71,11110,8
 ,2004,신규,21.12~22.12,2021,경희궁의 아침 2단지,내수동,"10,000",종로구,11,50,26,28.9, , ,71,11110,15
 ,2004,신규,22.01~23.01,2021,용비어천가,내수동,"5,000",종로구,11,80,26,41.34, , ,75,11110,6
 ,2004,신규,21.12~22.12,2021,용비어천가,내수동,"1,000",종로구,11,80,27,30.36, , ,75,11110,7
 ,2020,신규,21.12~22.12,2021,디팰리스,신문로2가,"30,000",종로구,11,100,3,41.66, , ,171,11110,3
 ,2004, , ,2021,두산위브파빌리온,수송동,"1,000",종로구,11,90,30,37.42, , ,58,11110,3
 ,2007,신규,22.02~23.02,2021,르메이에르종로타운1,종로1가,"1,000",종로구,11,100,22,36.23, , ,24,11110,18
 ,2005,갱신,21.11~22.11,2021,운현궁 에스케이 허브,경운동,"1,000",종로구,11,95,4,42.38,"1,000",95,89-4,11110,5
 ,2021, , ,2021,루비온오피스텔,인의동,"3,000",종로구,11,70,8,18.2, , ,28-26,11110,11
 ,2021, , ,2021,루비온오피스텔,인의동,"1,000",종로구,11,80,8,18.2, , ,28-26,11110,12
 ,2021,신규,21.11~22.11,2021,루비온오피스텔,인의동,"1,000",종로구,11,75,10,18.2, , ,28-26,11110,8
 ,2021,신규,21.11~22.11,2021,루비온오피스텔,인의동,"3,000",종로구,11,70,13,18.2, , ,28-26,11110,10
 ,2021,신규,21.11~22.11,2021,루비온오피스텔,인의동,"1,000",종로구,11,80,15,18.2, , ,28-26,11110,14
 ,2021, , ,2021,루비온오피스텔,인의동,"19,500",종로구,11,0,15,18.2, , ,28-26,11110,14
 ,2021,신규,21.12~23.12,2021,루비온오피스텔,인의동,"22,000",종로구,11,0,21,18.2, , ,28-26,11110,12
 ,2021,신규,21.12~22.12,2021,루비온오피스텔,인의동,"5,000",종로구,11,45,26,18.2, , ,28-26,11110,11
 ,2021, , ,2021,루비온오피스텔,인의동,"18,000",종로구,11,0,27,18.2, , ,28-26,11110,2
 ,2021,신규,22.01~24.01,2021,루비온오피스텔,인의동,"18,000",종로구,11,0,28,18.2, , ,28-26,11110,4
 ,2003,신규,21.12~24.02,2021,코윈 팔레스뷰 오피스텔,원남동,"22,000",종로구,11,0,19,32.8, , ,95,11110,4
 ,2019,신규,21.11~22.11,2021,BS타워,효제동,"1,000",종로구,11,60,16,19.83, , ,193-1,11110,6
 ,2020, , ,2021,센트럴시티대학로,효제동,"4,000",종로구,11,55,20,17.28, , ,167,11110,7
 ,2020, , ,2021,센트럴시티대학로,효제동,"3,500",종로구,11,50,27,17.28, , ,167,11110,8
 ,2001,신규,22.01~24.01,2021,대보마로니에텔,연건동,100,종로구,11,65,20,26.52, , ,206,11110,10
 ,2001,신규,22.01~24.01,2021,대보마로니에텔,연건동,100,종로구,11,65,20,26.52, , ,206,11110,10
 ,2021,신규,21.12~22.10,2021,숭인한성아펠시티,숭인동,"5,000",종로구,11,77,1,22.28, , ,1368,11110,14
 ,2021,신규,21.11~22.11,2021,숭인한성아펠시티,숭인동,"1,000",종로구,11,85,3,22.28, , ,1368,11110,16
 ,2021,신규,21.11~23.11,2021,숭인한성아펠시티,숭인동,"25,000",종로구,11,0,3,22.28, , ,1368,11110,6
 ,2004,신규,21.12~23.12,2021,종로대우디오빌,숭인동,"16,000",종로구,11,0,4,29.65, , ,310,11110,4
 ,2021,신규,21.11~23.11,2021,숭인한성아펠시티,숭인동,"27,000",종로구,11,0,4,22.28, , ,1368,11110,7
 ,2004,신규,21.12~22.12,2021,롯데캐슬 천지인,숭인동,"1,000",종로구,11,80,5,39.6, , ,76,11110,14
 ,2013,신규,21.11~22.11,2021,(1392),숭인동,"3,000",종로구,11,38,5,18.64, , ,1392,11110,8
 ,2004,신규, ,2021,롯데캐슬 천지인,숭인동,"1,000",종로구,11,75,5,39.6, , ,76,11110,16
 ,2004,신규,21.12~22.12,2021,롯데캐슬 천지인,숭인동,"1,000",종로구,11,80,5,39.6, , ,76,11110,5
 ,2005,신규,21.11~22.11,2021,동양파라빌,숭인동,"1,000",종로구,11,60,6,27.09, , ,1388,11110,12
 ,2005,신규,21.12~22.12,2021,동양파라빌,숭인동,"2,000",종로구,11,50,6,27.09, , ,1388,11110,6
 ,2021, , ,2021,숭인한성아펠시티,숭인동,"10,000",종로구,11,55,6,20.51, , ,1368,11110,9
 ,2004,신규,21.11~22.11,2021,롯데캐슬 천지인,숭인동,"1,000",종로구,11,75,6,39.6, , ,76,11110,2
 ,2021,신규,21.12~23.11,2021,숭인한성아펠시티,숭인동,"27,000",종로구,11,0,6,20.51, , ,1368,11110,11
