갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
사용,1998,갱신,21.10~23.10,2021,파크뷰타워,필운동,"13,650",종로구,10,0,20,21.85,"13,000", ,285-5,11110,3
 ,2004,신규,21.10~22.10,2021,광화문시대,내수동,"7,000",종로구,10,70,5,40.26, , ,74,11110,4
사용,2004,갱신, ,2021,용비어천가,내수동,"1,000",종로구,10,90,5,37.12,"1,000",90,75,11110,8
 ,2004,신규,21.10~23.10,2021,경희궁의 아침 3단지,내수동,"23,000",종로구,10,0,7,37.5, , ,72,11110,15
 ,2004,신규,21.11~22.11,2021,광화문시대,내수동,"20,000",종로구,10,0,9,31.75, , ,74,11110,10
 ,2004,신규,21.12~23.12,2021,용비어천가,내수동,"1,000",종로구,10,79,12,30.76, , ,75,11110,8
 ,2004,신규,21.10~22.10,2021,경희궁의 아침 2단지,내수동,"1,000",종로구,10,85,18,32.43, , ,71,11110,15
 ,2004,신규,21.10~23.10,2021,경희궁의 아침 2단지,내수동,"1,000",종로구,10,79,18,32.43, , ,71,11110,7
 ,2004,신규,21.10~23.10,2021,경희궁의 아침 2단지,내수동,"1,000",종로구,10,79,18,32.43, , ,71,11110,7
 ,2004,신규,21.10~22.05,2021,용비어천가,내수동,"1,500",종로구,10,160,18,45.89, , ,75,11110,15
 ,2004,신규,21.12~23.12,2021,용비어천가,내수동,"30,000",종로구,10,0,20,50.32, , ,75,11110,10
사용,2004,갱신,21.10~23.10,2021,광화문시대,내수동,"24,150",종로구,10,0,25,34.9,"23,000", ,74,11110,8
 ,2004,신규,21.10~22.10,2021,BIZ-WELL 종로 오피스텔,익선동,500,종로구,10,50,22,17.2, , ,34,11110,8
사용,2020,갱신,21.11~22.11,2021,종로 하이뷰 디아트,관수동,"3,000",종로구,10,53,1,18.16,"3,000",50,98-1,11110,4
 ,2020,신규,21.11~23.11,2021,종로 하이뷰 디아트,관수동,"3,700",종로구,10,63,15,19.8, , ,98-1,11110,6
 ,2021,신규,21.11~23.11,2021,루비온오피스텔,인의동,"19,000",종로구,10,0,11,18.2, , ,28-26,11110,5
 ,2021,신규,21.11~22.11,2021,루비온오피스텔,인의동,"3,000",종로구,10,70,12,18.2, , ,28-26,11110,14
 ,2021,신규,21.11~23.11,2021,루비온오피스텔,인의동,"19,000",종로구,10,0,18,18.2, , ,28-26,11110,8
 ,2021,신규,21.11~23.11,2021,루비온오피스텔,인의동,"18,000",종로구,10,0,23,18.2, , ,28-26,11110,4
 ,2021,신규,21.10~23.10,2021,루비온오피스텔,인의동,"18,000",종로구,10,0,26,18.2, , ,28-26,11110,10
 ,2021,신규,21.10~22.10,2021,루비온오피스텔,인의동,"18,500",종로구,10,0,30,18.2, , ,28-26,11110,6
 ,2015,신규,21.10~22.10,2021,아르젠종로,연지동,"1,000",종로구,10,60,22,15.83, , ,163-3,11110,5
 ,2017, ,21.10~22.10,2021,포레스트힐시티,효제동,"1,000",종로구,10,70,7,23.24, , ,65-2,11110,6
 ,2019, ,21.10~23.10,2021,BS타워,효제동,"20,000",종로구,10,0,14,19.83, , ,193-1,11110,6
 ,2003,신규,21.10~23.10,2021,M스테이트,연건동,"15,000",종로구,10,0,20,27.92, , ,317,11110,7
 ,2013,신규,21.11~23.11,2021,버넷하임1,숭인동,"13,000",종로구,10,0,1,24.65, , ,1421,11110,5
 ,2020, , ,2021,블루카운티 숭인Ⅰ,숭인동,"23,000",종로구,10,0,2,27.18, , ,217-16,11110,4
 ,2014,신규,21.11~23.11,2021,숭인한양LEEPS,숭인동,"11,860",종로구,10,0,5,17.07, , ,1421-2,11110,16
 ,2005,신규,21.10~22.10,2021,동양파라빌,숭인동,500,종로구,10,60,5,27.09, , ,1388,11110,7
 ,2014,신규,21.10~23.10,2021,삼전솔하임4차,숭인동,"11,000",종로구,10,0,6,19.17, , ,318-2,11110,2
 ,2016,신규,21.11~22.11,2021,아이비씨 호텔 앤 오피스텔,숭인동,"1,000",종로구,10,60,6,21.62, , ,1396,11110,8
 ,2013, , ,2021,그레이스탑,숭인동,"6,000",종로구,10,25,6,20.16, , ,178-94,11110,4
 ,2020,신규,21.10~23.10,2021,우영빌딩,숭인동,"1,000",종로구,10,100,6,44.73, , ,72-83,11110,5
 ,2004,신규,21.10~22.10,2021,롯데캐슬 천지인,숭인동,"2,000",종로구,10,130,7,67.96, , ,76,11110,9
 ,2005,신규,21.10~22.10,2021,경일오피스텔,숭인동,"3,000",종로구,10,35,8,18.82, , ,1367,11110,11
 ,2016,신규,21.10~22.10,2021,아이비씨 호텔 앤 오피스텔,숭인동,"1,000",종로구,10,60,9,21.36, , ,1396,11110,9
 ,2013,신규,21.10~23.10,2021,그레이스탑,숭인동,"8,000",종로구,10,15,9,23.01, , ,178-94,11110,3
 ,2005,신규,21.10~22.10,2021,동양파라빌,숭인동,"1,000",종로구,10,55,9,24.93, , ,1388,11110,12
 ,2020,신규,21.10~23.10,2021,헤스티아,숭인동,"3,000",종로구,10,40,11,15.47, , ,317-48,11110,5
 ,2005,신규,21.11~22.11,2021,동양파라빌,숭인동,"1,000",종로구,10,60,11,27.09, , ,1388,11110,11
 ,2004, , ,2021,롯데캐슬 천지인,숭인동,"1,000",종로구,10,80,11,39.6, , ,76,11110,12
 ,2005,신규,21.11~22.11,2021,경일오피스텔,숭인동,"3,000",종로구,10,40,11,22.42, , ,1367,11110,5
 ,2013,신규,21.10~22.10,2021,(1392),숭인동,500,종로구,10,55,12,19.84, , ,1392,11110,7
