갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,2008,신규,21.11~23.11,2021,광화문 스페이스본,사직동,"1,000",종로구,9,110,16,39.54, , ,9,11110,9
 ,2004,신규, ,2021,광화문시대,내수동,"22,000",종로구,9,0,1,33.3, , ,74,11110,9
 ,2004,신규,21.11~22.10,2021,광화문시대,내수동,"1,000",종로구,9,90,3,40.26, , ,74,11110,6
 ,2004,신규,21.09~23.09,2021,경희궁의 아침 2단지,내수동,"1,000",종로구,9,75,3,32.43, , ,71,11110,5
 ,2004,신규,21.10~22.09,2021,경희궁의 아침 3단지,내수동,"25,000",종로구,9,0,4,37.5, , ,72,11110,14
사용,2004,갱신,21.11~23.11,2021,용비어천가,내수동,"26,000",종로구,9,0,13,37.56,"25,000", ,75,11110,7
 ,2004,신규,21.10~23.10,2021,경희궁의 아침 2단지,내수동,"15,000",종로구,9,40,23,28.9, , ,71,11110,14
 ,2004,신규,21.09~22.09,2021,경희궁의 아침 2단지,내수동,"1,000",종로구,9,75,24,29.41, , ,71,11110,12
 ,2004,신규,21.11~23.11,2021,경희궁의 아침 4단지,내수동,"26,000",종로구,9,0,29,41.74, , ,73,11110,8
 ,2007,신규,21.10~22.10,2021,르메이에르종로타운1,종로1가,"1,000",종로구,9,80,10,34.59, , ,24,11110,8
 ,2004,신규,21.09~22.09,2021,나스빌,낙원동,"1,000",종로구,9,60,10,28.69, , ,212,11110,7
 ,2021, , ,2021,대보 마로니에시티,연지동,60,종로구,9,32,7,19.69, , ,231,11110,2
 ,2021, , ,2021,대보 마로니에시티,연지동,60,종로구,9,39,7,25.07, , ,231,11110,3
 ,2021, , ,2021,대보 마로니에시티,연지동,60,종로구,9,33,7,19.69, , ,231,11110,9
 ,2021, , ,2021,대보 마로니에시티,연지동,60,종로구,9,32,7,19.69, , ,231,11110,6
 ,2021, , ,2021,대보 마로니에시티,연지동,60,종로구,9,32,7,19.69, , ,231,11110,4
 ,2019, , ,2021,로얄파크뷰,연지동,"28,300",종로구,9,0,15,37.12, , ,238-5,11110,6
 ,2021, , ,2021,대보 마로니에시티,연지동,"4,920",종로구,9,16,23,25.07, , ,231,11110,8
 ,2021,신규,21.09~23.09,2021,(255-1),창신동,"19,500",종로구,9,0,11,15.59, , ,255-1,11110,9
 ,2014,신규,21.09~22.08,2021,숭인한양LEEPS,숭인동,"1,000",종로구,9,50,1,17.07, , ,1421-2,11110,15
 ,2005,신규,21.10~22.10,2021,동양파라빌,숭인동,"1,000",종로구,9,55,2,27.09, , ,1388,11110,3
 ,2020,신규,21.10~23.10,2021,블루카운티 숭인Ⅰ,숭인동,"23,000",종로구,9,0,3,26.97, , ,217-16,11110,3
 ,2020,신규,21.09~22.09,2021,블루카운티 숭인Ⅰ,숭인동,"3,000",종로구,9,80,4,29.88, , ,217-16,11110,9
 ,2020,신규,21.09~23.09,2021,(317-29),숭인동,"2,500",종로구,9,50,4,17.17, , ,317-29,11110,4
 ,2020,신규,21.09~23.09,2021,헤스티아,숭인동,"14,000",종로구,9,0,4,14.9, , ,317-48,11110,10
 ,2013,신규,21.09~22.09,2021,(1392),숭인동,"5,000",종로구,9,32,5,20.18, , ,1392,11110,4
 ,2004,신규,21.09~22.09,2021,롯데캐슬 천지인,숭인동,"1,000",종로구,9,80,6,39.6, , ,76,11110,3
 ,2014,신규,21.10~23.09,2021,디세븐,숭인동,"12,500",종로구,9,0,6,16.04, , ,313-12,11110,15
 ,2005, , ,2021,경일오피스텔,숭인동,"2,000",종로구,9,38,7,18.82, , ,1367,11110,8
 ,2020,신규,21.09~25.09,2021,헤스티아,숭인동,"5,000",종로구,9,35,7,15.47, , ,317-48,11110,7
 ,2013,신규,21.09~22.09,2021,종로 동광모닝스카이,숭인동,500,종로구,9,52,8,19.95, , ,1421-1,11110,2
 ,2016,신규,21.09~22.09,2021,아이비씨 호텔 앤 오피스텔,숭인동,"3,000",종로구,9,50,12,21.59, , ,1396,11110,6
 ,2005,신규,21.09~22.09,2021,동양파라빌,숭인동,"2,000",종로구,9,50,14,27.09, , ,1388,11110,4
 ,2020, ,21.10~23.10,2021,(317-29),숭인동,"25,000",종로구,9,0,15,24.47, , ,317-29,11110,3
 ,2019, , ,2021,케이디오피스텔,숭인동,"2,000",종로구,9,55,18,18.18, , ,217-26,11110,5
