갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,2008, , ,2021,광화문 스페이스본,사직동,"32,000",종로구,5,0,1,39.54, , ,9,11110,7
 ,2008, ,21.08~23.08,2021,광화문 스페이스본,사직동,"28,500",종로구,5,0,29,39.54, , ,9,11110,3
 ,2008, ,21.08~22.08,2021,광화문 스페이스본,사직동,"31,972",종로구,5,0,29,39.54, , ,9,11110,2
 ,2004, , ,2021,경희궁의 아침 2단지,내수동,"2,000",종로구,5,70,4,28.9, , ,71,11110,9
 ,2004, ,21.06~22.06,2021,용비어천가,내수동,"21,370",종로구,5,0,11,30.36, , ,75,11110,10
 ,2004, ,21.06~22.06,2021,경희궁의 아침 2단지,내수동,"1,000",종로구,5,85,12,32.43, , ,71,11110,12
 ,2004, ,21.06~22.06,2021,경희궁의 아침 3단지,내수동,"10,000",종로구,5,50,20,37.5, , ,72,11110,15
 ,2004, ,21.06~22.06,2021,광화문시대,내수동,"1,000",종로구,5,90,27,34.9, , ,74,11110,7
 ,2004, ,21.06~22.06,2021,경희궁의 아침 2단지,내수동,"8,000",종로구,5,53,28,32.43, , ,71,11110,16
 ,2020, ,21.06~23.06,2021,디팰리스,신문로2가,"130,000",종로구,5,0,1,81.52, , ,171,11110,5
 ,2020, , ,2021,디팰리스,신문로2가,"99,000",종로구,5,0,20,82.09, , ,171,11110,8
 ,2004, , ,2021,두산위브파빌리온,수송동,"2,000",종로구,5,115,1,53.16, , ,58,11110,4
 ,2005, ,21.06~22.06,2021,운현궁 에스케이 허브,경운동,"23,000",종로구,5,0,1,32.64, , ,89-4,11110,10
 ,2003, , ,2021,코윈 팔레스뷰 오피스텔,원남동,"1,000",종로구,5,57,26,21.01, , ,95,11110,12
 ,2019, , ,2021,로얄파크뷰,연지동,"17,300",종로구,5,0,26,18.66, , ,238-5,11110,4
 ,2019, , ,2021,주함해븐타워 3동,연지동,60,종로구,5,33,28,20.19, , ,111,11110,2
 ,2020, , ,2021,센트럴시티대학로,효제동,"1,500",종로구,5,63,19,17.28, , ,167,11110,2
 ,2003, , ,2021,반도 보라 아이비 타워,효제동,"3,000",종로구,5,60,22,30.7, , ,45,11110,2
 ,2020, , ,2021,센트럴시티대학로,효제동,"12,000",종로구,5,50,24,17.25, , ,167,11110,10
 ,2020, , ,2021,헤스티아,숭인동,"11,500",종로구,5,0,3,14.71, , ,317-48,11110,3
 ,2016, , ,2021,아폴리움 오피스텔,숭인동,"14,500",종로구,5,0,4,15.2, , ,201-7,11110,7
 ,2020, , ,2021,블루카운티 숭인Ⅰ,숭인동,"23,000",종로구,5,0,5,27.03, , ,217-16,11110,6
 ,2020, , ,2021,헤스티아,숭인동,"13,000",종로구,5,0,7,14.71, , ,317-48,11110,10
 ,2013, , ,2021,버넷하임1,숭인동,"12,100",종로구,5,0,7,25.27, , ,1421,11110,2
 ,2020, , ,2021,블루카운티 숭인Ⅰ,숭인동,"2,000",종로구,5,80,8,26.88, , ,217-16,11110,8
 ,2020, , ,2021,블루카운티 숭인Ⅰ,숭인동,"23,000",종로구,5,0,10,27.18, , ,217-16,11110,5
 ,2014, , ,2021,디세븐,숭인동,"12,000",종로구,5,0,10,16.04, , ,313-12,11110,13
 ,2014, , ,2021,삼전솔하임4차,숭인동,"3,000",종로구,5,43,10,19.17, , ,318-2,11110,7
 ,2020, , ,2021,헤스티아,숭인동,700,종로구,5,58,14,14.71, , ,317-48,11110,11
 ,2013, , ,2021,(1392),숭인동,"12,000",종로구,5,0,15,20.18, , ,1392,11110,4
 ,2013, , ,2021,종로유케이201,숭인동,"5,000",종로구,5,25,17,15.15, , ,201-11,11110,2
 ,2020, , ,2021,블루카운티 숭인Ⅰ,숭인동,"6,000",종로구,5,60,17,26.63, , ,217-16,11110,3
 ,2020, , ,2021,헤스티아,숭인동,"1,000",종로구,5,50,18,15.47, , ,317-48,11110,4
 ,2013, , ,2021,종로 중흥 S클래스,숭인동,500,종로구,5,58,19,22.44, , ,202-3,11110,4
 ,2020, , ,2021,헤스티아,숭인동,"1,000",종로구,5,50,19,15.47, , ,317-48,11110,2
 ,2016, ,21.06~22.06,2021,아이비씨 호텔 앤 오피스텔,숭인동,"1,000",종로구,5,60,20,21.45, , ,1396,11110,14
 ,2013, ,21.06~22.06,2021,(1392),숭인동,"4,000",종로구,5,30,22,18.64, , ,1392,11110,4
 ,2016, , ,2021,아이비씨 호텔 앤 오피스텔,숭인동,"1,000",종로구,5,60,25,21.36, , ,1396,11110,8
 ,2002, ,21.05~22.05,2021,수석컴비즈텔,숭인동,500,종로구,5,40,26,26.31, , ,55-6,11110,4
 ,2016, , ,2021,아이비씨 호텔 앤 오피스텔,숭인동,"1,000",종로구,5,60,28,23.24, , ,1396,11110,14
 ,2013, ,21.06~22.06,2021,그레이스탑,숭인동,"1,000",종로구,5,50,28,23.01, , ,178-94,11110,5
 ,2005, ,21.06~22.06,2021,경일오피스텔,숭인동,"3,000",종로구,5,40,29,22.42, , ,1367,11110,11
 ,2005, ,21.06~23.06,2021,동양파라빌,숭인동,"13,500",종로구,5,0,31,27.09, , ,1388,11110,5
 ,2017, , ,2021,경희궁자이,교북동,"28,000",종로구,5,0,17,27.62, , ,126,11110,2
 ,2017, ,21.06~22.06,2021,경희궁자이,교북동,"1,000",종로구,5,90,18,25.66, , ,126,11110,4
 ,2017,신규,21.05~22.05,2021,경희궁자이,교북동,"1,000",종로구,5,88,21,25.66, , ,126,11110,2
 ,2017, , ,2021,경희궁자이,교북동,"29,000",종로구,5,0,29,25.91, , ,126,11110,4
 ,2002, , ,2021,캐피탈오피스텔,부암동,"19,500",종로구,5,0,18,37.64, , ,154-2,11110,5
 ,2005, , ,2021,세검정아트오피스텔,홍지동,"12,000",종로구,5,0,18,45.1, , ,104-21,11110,3
 ,2007, , ,2021,명동 엠퍼스트플레이스,충무로2가,"1,000",중구,5,83,2,18.6, , ,48-2,11140,11
 ,2007, ,21.06~22.06,2021,명동 엠퍼스트플레이스,충무로2가,"3,000",중구,5,63,20,18.6, , ,48-2,11140,4
 ,2007, ,21.06~23.06,2021,명동 엠퍼스트플레이스,충무로2가,"21,000",중구,5,0,30,20.28, , ,48-2,11140,2
 ,2007, ,21.07~22.07,2021,명동 엠퍼스트플레이스,충무로2가,"4,000",중구,5,65,31,20.28, , ,48-2,11140,4
 ,2016, , ,2021,충무로엘크루메트로시티2,충무로5가,"29,400",중구,5,0,1,41.41, , ,36-2,11140,17
 ,2021, , ,2021,충무로역 스위트엠,묵정동,"20,500",중구,5,0,3,18.57, , ,32-5,11140,6
 ,2021, , ,2021,충무로역 스위트엠,묵정동,"5,000",중구,5,75,3,18.97, , ,32-5,11140,13
 ,2021, , ,2021,충무로역 스위트엠,묵정동,"20,000",중구,5,0,3,18.57, , ,32-5,11140,8
 ,2021, , ,2021,충무로역 스위트엠,묵정동,"5,000",중구,5,75,3,18.57, , ,32-5,11140,13
 ,2021, , ,2021,충무로역 스위트엠,묵정동,500,중구,5,85,3,18.57, , ,32-5,11140,14
 ,2021, , ,2021,충무로역 스위트엠,묵정동,"34,000",중구,5,0,4,24.31, , ,32-5,11140,14
 ,2021, , ,2021,충무로역 스위트엠,묵정동,"20,000",중구,5,0,4,18.57, , ,32-5,11140,6
 ,2021, ,21.05~22.05,2021,충무로역 스위트엠,묵정동,"2,000",중구,5,80,5,18.57, , ,32-5,11140,14
 ,2021, , ,2021,충무로역 스위트엠,묵정동,"20,000",중구,5,0,8,18.47, , ,32-5,11140,9
 ,2021, , ,2021,충무로역 스위트엠,묵정동,"22,000",중구,5,0,8,18.57, , ,32-5,11140,12
 ,2021, , ,2021,충무로역 스위트엠,묵정동,"1,500",중구,5,70,12,18.97, , ,32-5,11140,11
