거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,동,등기일자,매도자,매수자,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층
"    20,200",중개거래,2014,2022,대학로,00047,00000,11110,05,0,3100002, , , , , 연건동,0195,0010,11110,16600,1,이화에수풀,12,30,11110-2359,16.98,서울 성북구,195-10,11110,10
"    73,000",중개거래,2009,2022,숭인동길,00021,00000,11110,01,0,4100204, , , , , 숭인동,0766,0000,11110,17500,1,종로청계힐스테이트,12,22,11110-2234,59.9426,서울 종로구,766,11110,18
"    13,000",중개거래,2013,2022,난계로29가길,00017,00000,11110,01,0,4100029, , , , , 숭인동,1392,0000,11110,17500,1,익성씨티하임,12,28,11110-2348,15.76,서울 종로구,1392,11110,14
"    75,000",직거래,2000,2022,통일로,00246,00020,11110,06,0,3000008, , , , , 무악동,0082,0000,11110,18700,1,현대,12,15,11110-90,60, ,82,11110,13
"    19,000",중개거래,1999,2022,옥인3길,00007,00000,11110,01,0,4100207, , , , , 누상동,0040,0000,11110,10900,1,청호그린빌,12,19,11110-210,29.76,서울 종로구,40,11110,4
"    16,000",직거래,2017,2022,대학로,00033,00000,11110,00,0,3100002, , , , , 효제동,0065,0002,11110,16200,1,포레스트힐시티,12,8,11110-2440,16.672, ,65-2,11110,5
"    20,000",중개거래,2017,2022,대학로,00033,00000,11110,00,0,3100002, , , , , 효제동,0065,0002,11110,16200,1,포레스트힐시티,12,17,11110-2440,20.3861,서울 종로구,65-2,11110,5
"    20,200",중개거래,2014,2022,대학로,00047,00000,11110,05,0,3100002, , , , , 연건동,0195,0010,11110,16600,1,이화에수풀,12,30,11110-2359,16.98,서울 성북구,195-10,11110,10
"    73,000",중개거래,2009,2022,숭인동길,00021,00000,11110,01,0,4100204, , , , , 숭인동,0766,0000,11110,17500,1,종로청계힐스테이트,12,22,11110-2234,59.9426,서울 종로구,766,11110,18
"    13,000",중개거래,2013,2022,난계로29가길,00017,00000,11110,01,0,4100029, , , , , 숭인동,1392,0000,11110,17500,1,익성씨티하임,12,28,11110-2348,15.76,서울 종로구,1392,11110,14
"    75,000",직거래,2000,2022,통일로,00246,00020,11110,06,0,3000008, , , , , 무악동,0082,0000,11110,18700,1,현대,12,15,11110-90,60, ,82,11110,13
"    19,000",중개거래,1999,2022,옥인3길,00007,00000,11110,01,0,4100207, , , , , 누상동,0040,0000,11110,10900,1,청호그린빌,12,19,11110-210,29.76,서울 종로구,40,11110,4
"    16,000",직거래,2017,2022,대학로,00033,00000,11110,00,0,3100002, , , , , 효제동,0065,0002,11110,16200,1,포레스트힐시티,12,8,11110-2440,16.672, ,65-2,11110,5
"    20,000",중개거래,2017,2022,대학로,00033,00000,11110,00,0,3100002, , , , , 효제동,0065,0002,11110,16200,1,포레스트힐시티,12,17,11110-2440,20.3861,서울 종로구,65-2,11110,5
"    20,200",중개거래,2014,2022,대학로,00047,00000,11110,05,0,3100002, , , , , 연건동,0195,0010,11110,16600,1,이화에수풀,12,30,11110-2359,16.98,서울 성북구,195-10,11110,10
"    73,000",중개거래,2009,2022,숭인동길,00021,00000,11110,01,0,4100204, , , , , 숭인동,0766,0000,11110,17500,1,종로청계힐스테이트,12,22,11110-2234,59.9426,서울 종로구,766,11110,18
"    13,000",중개거래,2013,2022,난계로29가길,00017,00000,11110,01,0,4100029, , , , , 숭인동,1392,0000,11110,17500,1,익성씨티하임,12,28,11110-2348,15.76,서울 종로구,1392,11110,14
"    75,000",직거래,2000,2022,통일로,00246,00020,11110,06,0,3000008, , , , , 무악동,0082,0000,11110,18700,1,현대,12,15,11110-90,60, ,82,11110,13
"    19,000",중개거래,1999,2022,옥인3길,00007,00000,11110,01,0,4100207, , , , , 누상동,0040,0000,11110,10900,1,청호그린빌,12,19,11110-210,29.76,서울 종로구,40,11110,4
"    16,000",직거래,2017,2022,대학로,00033,00000,11110,00,0,3100002, , , , , 효제동,0065,0002,11110,16200,1,포레스트힐시티,12,8,11110-2440,16.672, ,65-2,11110,5
"    20,000",중개거래,2017,2022,대학로,00033,00000,11110,00,0,3100002, , , , , 효제동,0065,0002,11110,16200,1,포레스트힐시티,12,17,11110-2440,20.3861,서울 종로구,65-2,11110,5
"    20,200",중개거래,2014,2022,대학로,00047,00000,11110,05,0,3100002, , , , , 연건동,0195,0010,11110,16600,1,이화에수풀,12,30,11110-2359,16.98,서울 성북구,195-10,11110,10
"    73,000",중개거래,2009,2022,숭인동길,00021,00000,11110,01,0,4100204, , , , , 숭인동,0766,0000,11110,17500,1,종로청계힐스테이트,12,22,11110-2234,59.9426,서울 종로구,766,11110,18
"    13,000",중개거래,2013,2022,난계로29가길,00017,00000,11110,01,0,4100029, , , , , 숭인동,1392,0000,11110,17500,1,익성씨티하임,12,28,11110-2348,15.76,서울 종로구,1392,11110,14
"    75,000",직거래,2000,2022,통일로,00246,00020,11110,06,0,3000008, , , , , 무악동,0082,0000,11110,18700,1,현대,12,15,11110-90,60, ,82,11110,13
"    19,000",중개거래,1999,2022,옥인3길,00007,00000,11110,01,0,4100207, , , , , 누상동,0040,0000,11110,10900,1,청호그린빌,12,19,11110-210,29.76,서울 종로구,40,11110,4
"    16,000",직거래,2017,2022,대학로,00033,00000,11110,00,0,3100002, , , , , 효제동,0065,0002,11110,16200,1,포레스트힐시티,12,8,11110-2440,16.672, ,65-2,11110,5
"    20,000",중개거래,2017,2022,대학로,00033,00000,11110,00,0,3100002, , , , , 효제동,0065,0002,11110,16200,1,포레스트힐시티,12,17,11110-2440,20.3861,서울 종로구,65-2,11110,5
"    20,200",중개거래,2014,2022,대학로,00047,00000,11110,05,0,3100002, , , , , 연건동,0195,0010,11110,16600,1,이화에수풀,12,30,11110-2359,16.98,서울 성북구,195-10,11110,10
"    73,000",중개거래,2009,2022,숭인동길,00021,00000,11110,01,0,4100204, , , , , 숭인동,0766,0000,11110,17500,1,종로청계힐스테이트,12,22,11110-2234,59.9426,서울 종로구,766,11110,18
"    13,000",중개거래,2013,2022,난계로29가길,00017,00000,11110,01,0,4100029, , , , , 숭인동,1392,0000,11110,17500,1,익성씨티하임,12,28,11110-2348,15.76,서울 종로구,1392,11110,14
"    75,000",직거래,2000,2022,통일로,00246,00020,11110,06,0,3000008, , , , , 무악동,0082,0000,11110,18700,1,현대,12,15,11110-90,60, ,82,11110,13
"    19,000",중개거래,1999,2022,옥인3길,00007,00000,11110,01,0,4100207, , , , , 누상동,0040,0000,11110,10900,1,청호그린빌,12,19,11110-210,29.76,서울 종로구,40,11110,4
"    16,000",직거래,2017,2022,대학로,00033,00000,11110,00,0,3100002, , , , , 효제동,0065,0002,11110,16200,1,포레스트힐시티,12,8,11110-2440,16.672, ,65-2,11110,5
"    20,000",중개거래,2017,2022,대학로,00033,00000,11110,00,0,3100002, , , , , 효제동,0065,0002,11110,16200,1,포레스트힐시티,12,17,11110-2440,20.3861,서울 종로구,65-2,11110,5
"    20,200",중개거래,2014,2022,대학로,00047,00000,11110,05,0,3100002, , , , , 연건동,0195,0010,11110,16600,1,이화에수풀,12,30,11110-2359,16.98,서울 성북구,195-10,11110,10
"    73,000",중개거래,2009,2022,숭인동길,00021,00000,11110,01,0,4100204, , , , , 숭인동,0766,0000,11110,17500,1,종로청계힐스테이트,12,22,11110-2234,59.9426,서울 종로구,766,11110,18
"    13,000",중개거래,2013,2022,난계로29가길,00017,00000,11110,01,0,4100029, , , , , 숭인동,1392,0000,11110,17500,1,익성씨티하임,12,28,11110-2348,15.76,서울 종로구,1392,11110,14
"    75,000",직거래,2000,2022,통일로,00246,00020,11110,06,0,3000008, , , , , 무악동,0082,0000,11110,18700,1,현대,12,15,11110-90,60, ,82,11110,13
"    19,000",중개거래,1999,2022,옥인3길,00007,00000,11110,01,0,4100207, , , , , 누상동,0040,0000,11110,10900,1,청호그린빌,12,19,11110-210,29.76,서울 종로구,40,11110,4
"    16,000",직거래,2017,2022,대학로,00033,00000,11110,00,0,3100002, , , , , 효제동,0065,0002,11110,16200,1,포레스트힐시티,12,8,11110-2440,16.672, ,65-2,11110,5
"    20,000",중개거래,2017,2022,대학로,00033,00000,11110,00,0,3100002, , , , , 효제동,0065,0002,11110,16200,1,포레스트힐시티,12,17,11110-2440,20.3861,서울 종로구,65-2,11110,5
"    20,200",중개거래,2014,2022,대학로,00047,00000,11110,05,0,3100002, , , , , 연건동,0195,0010,11110,16600,1,이화에수풀,12,30,11110-2359,16.98,서울 성북구,195-10,11110,10
"    73,000",중개거래,2009,2022,숭인동길,00021,00000,11110,01,0,4100204, , , , , 숭인동,0766,0000,11110,17500,1,종로청계힐스테이트,12,22,11110-2234,59.9426,서울 종로구,766,11110,18
"    13,000",중개거래,2013,2022,난계로29가길,00017,00000,11110,01,0,4100029, , , , , 숭인동,1392,0000,11110,17500,1,익성씨티하임,12,28,11110-2348,15.76,서울 종로구,1392,11110,14
"    75,000",직거래,2000,2022,통일로,00246,00020,11110,06,0,3000008, , , , , 무악동,0082,0000,11110,18700,1,현대,12,15,11110-90,60, ,82,11110,13
"    19,000",중개거래,1999,2022,옥인3길,00007,00000,11110,01,0,4100207, , , , , 누상동,0040,0000,11110,10900,1,청호그린빌,12,19,11110-210,29.76,서울 종로구,40,11110,4
"    16,000",직거래,2017,2022,대학로,00033,00000,11110,00,0,3100002, , , , , 효제동,0065,0002,11110,16200,1,포레스트힐시티,12,8,11110-2440,16.672, ,65-2,11110,5
"    20,000",중개거래,2017,2022,대학로,00033,00000,11110,00,0,3100002, , , , , 효제동,0065,0002,11110,16200,1,포레스트힐시티,12,17,11110-2440,20.3861,서울 종로구,65-2,11110,5
"    20,200",중개거래,2014,2022,대학로,00047,00000,11110,05,0,3100002, , , , , 연건동,0195,0010,11110,16600,1,이화에수풀,12,30,11110-2359,16.98,서울 성북구,195-10,11110,10
"    73,000",중개거래,2009,2022,숭인동길,00021,00000,11110,01,0,4100204, , , , , 숭인동,0766,0000,11110,17500,1,종로청계힐스테이트,12,22,11110-2234,59.9426,서울 종로구,766,11110,18
"    13,000",중개거래,2013,2022,난계로29가길,00017,00000,11110,01,0,4100029, , , , , 숭인동,1392,0000,11110,17500,1,익성씨티하임,12,28,11110-2348,15.76,서울 종로구,1392,11110,14
"    75,000",직거래,2000,2022,통일로,00246,00020,11110,06,0,3000008, , , , , 무악동,0082,0000,11110,18700,1,현대,12,15,11110-90,60, ,82,11110,13
