거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,동,등기일자,매도자,매수자,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층
"    60,000",중개거래,1993,2024,낙산길,00198,00000,11110,02,0,4100020,203,24.04.26,개인,개인, 창신동,0703,0000,11110,17400,1,창신쌍용2,2,2,11110-91,64.66,서울 종로구,703,11110,11
"    57,000",직거래,1993,2024,낙산길,00198,00000,11110,02,0,4100020,204,24.03.22,개인,개인, 창신동,0703,0000,11110,17400,1,창신쌍용2,2,5,11110-91,79.87, ,703,11110,2
"    60,000",중개거래,1999,2024,지봉로5길,00007,00000,11110,01,0,4100390, , ,개인,개인, 창신동,0232,0000,11110,17400,1,두산,2,13,11110-34,59.95,서울 중구,232,11110,2
"    67,000",직거래,1992,2024,동망산길,00019,00000,11110,01,0,4100065,101,24.03.22,개인,개인, 창신동,0702,0000,11110,17400,1,창신쌍용1,2,27,11110-37,54.7, ,702,11110,11
"    12,300",중개거래,2013,2024,종로66길,00028,00000,11110,01,0,4100372, ,24.03.22,개인,개인, 숭인동,0202,0003,11110,17500,1,종로중흥S클래스,2,15,11110-2339,17.811,서울 종로구,202-3,11110,9
"    26,000",중개거래,1997,2024,숭인동1길,00031,00000,11110,01,0,4100200, ,24.04.22,개인,개인, 숭인동,0181,0121,11110,17500,1,도시그린빌라,2,17,11110-44,44.4,서울 종로구,181-121,11110,3
"    11,400",중개거래,2013,2024,난계로29가길,00024,00000,11110,01,0,4100029, ,24.03.11,개인,개인, 숭인동,1421,0001,11110,17500,1,종로동광모닝스카이,2,23,11110-2343,15.855,서울 종로구,1421-1,11110,11
"    44,000",중개거래,1997,2024,숭인동2길,00014,00005,11110,01,0,4100203, , ,개인,개인, 숭인동,0494,0000,11110,17500,1,"동문(비동,씨동)(494-0)",2,24,11110-45,59.94,서울 종로구,494,11110,5
"    11,000",중개거래,2013,2024,난계로29가길,00024,00000,11110,01,0,4100029, ,24.03.25,개인,개인, 숭인동,1421,0001,11110,17500,1,종로동광모닝스카이,2,29,11110-2343,15.855,서울 종로구,1421-1,11110,15
"   214,000",중개거래,2017,2024,송월길,00099,00000,11110,01,존재하지 않음,4100192,206,24.06.03,개인,개인, 홍파동,0199,0000,11110,17900,1,경희궁자이(2단지),2,25,11110-2445,84.8359,서울 종로구,199,11110,10
"    30,000",중개거래,1971,2024,사직로,00021,00000,11110,07,0,3100005,가동,24.03.07,개인,개인, 행촌동,0041,0001,11110,18100,1,대성아파트,2,28,11110-52,94.94,경기 용인시기흥구,41-1,11110,6
"    58,350",중개거래,2019,2024,비봉길,00007,00000,11110,00,0,4100122, ,24.03.13,법인,개인, 구기동,0125,0005,11110,18200,1,마운틴뷰,2,15,11110-2502,64.39,서울 종로구,125-5,11110,3
"    19,000",중개거래,1997,2024,평창문화로,00019,00000,11110,01,0,3100023, ,24.03.25,개인,개인, 평창동,0595,0000,11110,18300,1,갑을아파트,2,18,11110-68,32.56,서울 종로구,595,11110,12
"    80,000",직거래,1998,2024,평창문화로,00172,00000,11110,00,존재하지 않음,3100023,102,24.02.28,개인,개인, 평창동,0596,0000,11110,18300,1,삼성,2,19,11110-73,84.93, ,596,11110,7
"   108,000",중개거래,2008,2024,통일로18길,00009,00000,11110,01,0,4100482,113,24.04.16,개인,개인, 무악동,0060,0000,11110,18700,1,인왕산아이파크,2,17,11110-2212,84.858,서울 종로구,60,11110,1
"   128,000",중개거래,2008,2024,통일로18길,00009,00000,11110,01,0,4100482, , ,개인,개인, 무악동,0060,0000,11110,18700,1,인왕산아이파크,2,20,11110-2212,84.858,서울 종로구,60,11110,3
"    97,000",중개거래,2008,2024,통일로18길,00009,00000,11110,01,0,4100482,116,24.04.30,개인,개인, 무악동,0060,0000,11110,18700,1,인왕산아이파크,2,24,11110-2212,59.993,서울 종로구,60,11110,5
"   190,000",중개거래,2008,2024,사직로8길,00004,00000,11110,03,0,4100135, , ,개인,개인, 사직동,0009,0000,11110,11500,1,광화문스페이스본(101동~105동),2,16,11110-2203,159.01,"서울 강남구, 서울 종로구",9,11110,13
"   167,000",중개거래,2008,2024,사직로8길,00004,00000,11110,03,0,4100135,101,24.05.03,개인,개인, 사직동,0009,0000,11110,11500,1,광화문스페이스본(101동~105동),2,23,11110-2203,136.4,서울 종로구,9,11110,11
"    60,000",중개거래,1993,2024,낙산길,00198,00000,11110,02,0,4100020,203,24.04.26,개인,개인, 창신동,0703,0000,11110,17400,1,창신쌍용2,2,2,11110-91,64.66,서울 종로구,703,11110,11
"    57,000",직거래,1993,2024,낙산길,00198,00000,11110,02,0,4100020,204,24.03.22,개인,개인, 창신동,0703,0000,11110,17400,1,창신쌍용2,2,5,11110-91,79.87, ,703,11110,2
"    60,000",중개거래,1999,2024,지봉로5길,00007,00000,11110,01,0,4100390, , ,개인,개인, 창신동,0232,0000,11110,17400,1,두산,2,13,11110-34,59.95,서울 중구,232,11110,2
"    67,000",직거래,1992,2024,동망산길,00019,00000,11110,01,0,4100065,101,24.03.22,개인,개인, 창신동,0702,0000,11110,17400,1,창신쌍용1,2,27,11110-37,54.7, ,702,11110,11
"    12,300",중개거래,2013,2024,종로66길,00028,00000,11110,01,0,4100372, ,24.03.22,개인,개인, 숭인동,0202,0003,11110,17500,1,종로중흥S클래스,2,15,11110-2339,17.811,서울 종로구,202-3,11110,9
"    26,000",중개거래,1997,2024,숭인동1길,00031,00000,11110,01,0,4100200, ,24.04.22,개인,개인, 숭인동,0181,0121,11110,17500,1,도시그린빌라,2,17,11110-44,44.4,서울 종로구,181-121,11110,3
"    11,400",중개거래,2013,2024,난계로29가길,00024,00000,11110,01,0,4100029, ,24.03.11,개인,개인, 숭인동,1421,0001,11110,17500,1,종로동광모닝스카이,2,23,11110-2343,15.855,서울 종로구,1421-1,11110,11
"    44,000",중개거래,1997,2024,숭인동2길,00014,00005,11110,01,0,4100203, , ,개인,개인, 숭인동,0494,0000,11110,17500,1,"동문(비동,씨동)(494-0)",2,24,11110-45,59.94,서울 종로구,494,11110,5
"    11,000",중개거래,2013,2024,난계로29가길,00024,00000,11110,01,0,4100029, ,24.03.25,개인,개인, 숭인동,1421,0001,11110,17500,1,종로동광모닝스카이,2,29,11110-2343,15.855,서울 종로구,1421-1,11110,15
"   214,000",중개거래,2017,2024,송월길,00099,00000,11110,01,존재하지 않음,4100192,206,24.06.03,개인,개인, 홍파동,0199,0000,11110,17900,1,경희궁자이(2단지),2,25,11110-2445,84.8359,서울 종로구,199,11110,10
"    30,000",중개거래,1971,2024,사직로,00021,00000,11110,07,0,3100005,가동,24.03.07,개인,개인, 행촌동,0041,0001,11110,18100,1,대성아파트,2,28,11110-52,94.94,경기 용인시기흥구,41-1,11110,6
"    58,350",중개거래,2019,2024,비봉길,00007,00000,11110,00,0,4100122, ,24.03.13,법인,개인, 구기동,0125,0005,11110,18200,1,마운틴뷰,2,15,11110-2502,64.39,서울 종로구,125-5,11110,3
"    19,000",중개거래,1997,2024,평창문화로,00019,00000,11110,01,0,3100023, ,24.03.25,개인,개인, 평창동,0595,0000,11110,18300,1,갑을아파트,2,18,11110-68,32.56,서울 종로구,595,11110,12
"    80,000",직거래,1998,2024,평창문화로,00172,00000,11110,00,존재하지 않음,3100023,102,24.02.28,개인,개인, 평창동,0596,0000,11110,18300,1,삼성,2,19,11110-73,84.93, ,596,11110,7
"   108,000",중개거래,2008,2024,통일로18길,00009,00000,11110,01,0,4100482,113,24.04.16,개인,개인, 무악동,0060,0000,11110,18700,1,인왕산아이파크,2,17,11110-2212,84.858,서울 종로구,60,11110,1
"   128,000",중개거래,2008,2024,통일로18길,00009,00000,11110,01,0,4100482, , ,개인,개인, 무악동,0060,0000,11110,18700,1,인왕산아이파크,2,20,11110-2212,84.858,서울 종로구,60,11110,3
"    97,000",중개거래,2008,2024,통일로18길,00009,00000,11110,01,0,4100482,116,24.04.30,개인,개인, 무악동,0060,0000,11110,18700,1,인왕산아이파크,2,24,11110-2212,59.993,서울 종로구,60,11110,5
"   190,000",중개거래,2008,2024,사직로8길,00004,00000,11110,03,0,4100135, , ,개인,개인, 사직동,0009,0000,11110,11500,1,광화문스페이스본(101동~105동),2,16,11110-2203,159.01,"서울 강남구, 서울 종로구",9,11110,13
"   167,000",중개거래,2008,2024,사직로8길,00004,00000,11110,03,0,4100135,101,24.05.03,개인,개인, 사직동,0009,0000,11110,11500,1,광화문스페이스본(101동~105동),2,23,11110-2203,136.4,서울 종로구,9,11110,11
"    60,000",중개거래,1993,2024,낙산길,00198,00000,11110,02,0,4100020,203,24.04.26,개인,개인, 창신동,0703,0000,11110,17400,1,창신쌍용2,2,2,11110-91,64.66,서울 종로구,703,11110,11
"    57,000",직거래,1993,2024,낙산길,00198,00000,11110,02,0,4100020,204,24.03.22,개인,개인, 창신동,0703,0000,11110,17400,1,창신쌍용2,2,5,11110-91,79.87, ,703,11110,2
"    60,000",중개거래,1999,2024,지봉로5길,00007,00000,11110,01,0,4100390, , ,개인,개인, 창신동,0232,0000,11110,17400,1,두산,2,13,11110-34,59.95,서울 중구,232,11110,2
"    67,000",직거래,1992,2024,동망산길,00019,00000,11110,01,0,4100065,101,24.03.22,개인,개인, 창신동,0702,0000,11110,17400,1,창신쌍용1,2,27,11110-37,54.7, ,702,11110,11
"    12,300",중개거래,2013,2024,종로66길,00028,00000,11110,01,0,4100372, ,24.03.22,개인,개인, 숭인동,0202,0003,11110,17500,1,종로중흥S클래스,2,15,11110-2339,17.811,서울 종로구,202-3,11110,9
"    26,000",중개거래,1997,2024,숭인동1길,00031,00000,11110,01,0,4100200, ,24.04.22,개인,개인, 숭인동,0181,0121,11110,17500,1,도시그린빌라,2,17,11110-44,44.4,서울 종로구,181-121,11110,3
"    11,400",중개거래,2013,2024,난계로29가길,00024,00000,11110,01,0,4100029, ,24.03.11,개인,개인, 숭인동,1421,0001,11110,17500,1,종로동광모닝스카이,2,23,11110-2343,15.855,서울 종로구,1421-1,11110,11
"    44,000",중개거래,1997,2024,숭인동2길,00014,00005,11110,01,0,4100203, , ,개인,개인, 숭인동,0494,0000,11110,17500,1,"동문(비동,씨동)(494-0)",2,24,11110-45,59.94,서울 종로구,494,11110,5
"    11,000",중개거래,2013,2024,난계로29가길,00024,00000,11110,01,0,4100029, ,24.03.25,개인,개인, 숭인동,1421,0001,11110,17500,1,종로동광모닝스카이,2,29,11110-2343,15.855,서울 종로구,1421-1,11110,15
"   214,000",중개거래,2017,2024,송월길,00099,00000,11110,01,존재하지 않음,4100192,206,24.06.03,개인,개인, 홍파동,0199,0000,11110,17900,1,경희궁자이(2단지),2,25,11110-2445,84.8359,서울 종로구,199,11110,10
"    30,000",중개거래,1971,2024,사직로,00021,00000,11110,07,0,3100005,가동,24.03.07,개인,개인, 행촌동,0041,0001,11110,18100,1,대성아파트,2,28,11110-52,94.94,경기 용인시기흥구,41-1,11110,6
"    58,350",중개거래,2019,2024,비봉길,00007,00000,11110,00,0,4100122, ,24.03.13,법인,개인, 구기동,0125,0005,11110,18200,1,마운틴뷰,2,15,11110-2502,64.39,서울 종로구,125-5,11110,3
"    19,000",중개거래,1997,2024,평창문화로,00019,00000,11110,01,0,3100023, ,24.03.25,개인,개인, 평창동,0595,0000,11110,18300,1,갑을아파트,2,18,11110-68,32.56,서울 종로구,595,11110,12
"    80,000",직거래,1998,2024,평창문화로,00172,00000,11110,00,존재하지 않음,3100023,102,24.02.28,개인,개인, 평창동,0596,0000,11110,18300,1,삼성,2,19,11110-73,84.93, ,596,11110,7
"   108,000",중개거래,2008,2024,통일로18길,00009,00000,11110,01,0,4100482,113,24.04.16,개인,개인, 무악동,0060,0000,11110,18700,1,인왕산아이파크,2,17,11110-2212,84.858,서울 종로구,60,11110,1
"   128,000",중개거래,2008,2024,통일로18길,00009,00000,11110,01,0,4100482, , ,개인,개인, 무악동,0060,0000,11110,18700,1,인왕산아이파크,2,20,11110-2212,84.858,서울 종로구,60,11110,3
"    97,000",중개거래,2008,2024,통일로18길,00009,00000,11110,01,0,4100482,116,24.04.30,개인,개인, 무악동,0060,0000,11110,18700,1,인왕산아이파크,2,24,11110-2212,59.993,서울 종로구,60,11110,5
"   190,000",중개거래,2008,2024,사직로8길,00004,00000,11110,03,0,4100135, , ,개인,개인, 사직동,0009,0000,11110,11500,1,광화문스페이스본(101동~105동),2,16,11110-2203,159.01,"서울 강남구, 서울 종로구",9,11110,13
"   167,000",중개거래,2008,2024,사직로8길,00004,00000,11110,03,0,4100135,101,24.05.03,개인,개인, 사직동,0009,0000,11110,11500,1,광화문스페이스본(101동~105동),2,23,11110-2203,136.4,서울 종로구,9,11110,11
"    60,000",중개거래,1993,2024,낙산길,00198,00000,11110,02,0,4100020,203,24.04.26,개인,개인, 창신동,0703,0000,11110,17400,1,창신쌍용2,2,2,11110-91,64.66,서울 종로구,703,11110,11
"    57,000",직거래,1993,2024,낙산길,00198,00000,11110,02,0,4100020,204,24.03.22,개인,개인, 창신동,0703,0000,11110,17400,1,창신쌍용2,2,5,11110-91,79.87, ,703,11110,2
"    60,000",중개거래,1999,2024,지봉로5길,00007,00000,11110,01,0,4100390, , ,개인,개인, 창신동,0232,0000,11110,17400,1,두산,2,13,11110-34,59.95,서울 중구,232,11110,2
"    67,000",직거래,1992,2024,동망산길,00019,00000,11110,01,0,4100065,101,24.03.22,개인,개인, 창신동,0702,0000,11110,17400,1,창신쌍용1,2,27,11110-37,54.7, ,702,11110,11
"    12,300",중개거래,2013,2024,종로66길,00028,00000,11110,01,0,4100372, ,24.03.22,개인,개인, 숭인동,0202,0003,11110,17500,1,종로중흥S클래스,2,15,11110-2339,17.811,서울 종로구,202-3,11110,9
"    26,000",중개거래,1997,2024,숭인동1길,00031,00000,11110,01,0,4100200, ,24.04.22,개인,개인, 숭인동,0181,0121,11110,17500,1,도시그린빌라,2,17,11110-44,44.4,서울 종로구,181-121,11110,3
"    11,400",중개거래,2013,2024,난계로29가길,00024,00000,11110,01,0,4100029, ,24.03.11,개인,개인, 숭인동,1421,0001,11110,17500,1,종로동광모닝스카이,2,23,11110-2343,15.855,서울 종로구,1421-1,11110,11
"    44,000",중개거래,1997,2024,숭인동2길,00014,00005,11110,01,0,4100203, , ,개인,개인, 숭인동,0494,0000,11110,17500,1,"동문(비동,씨동)(494-0)",2,24,11110-45,59.94,서울 종로구,494,11110,5
"    11,000",중개거래,2013,2024,난계로29가길,00024,00000,11110,01,0,4100029, ,24.03.25,개인,개인, 숭인동,1421,0001,11110,17500,1,종로동광모닝스카이,2,29,11110-2343,15.855,서울 종로구,1421-1,11110,15
"   214,000",중개거래,2017,2024,송월길,00099,00000,11110,01,존재하지 않음,4100192,206,24.06.03,개인,개인, 홍파동,0199,0000,11110,17900,1,경희궁자이(2단지),2,25,11110-2445,84.8359,서울 종로구,199,11110,10
"    30,000",중개거래,1971,2024,사직로,00021,00000,11110,07,0,3100005,가동,24.03.07,개인,개인, 행촌동,0041,0001,11110,18100,1,대성아파트,2,28,11110-52,94.94,경기 용인시기흥구,41-1,11110,6
"    58,350",중개거래,2019,2024,비봉길,00007,00000,11110,00,0,4100122, ,24.03.13,법인,개인, 구기동,0125,0005,11110,18200,1,마운틴뷰,2,15,11110-2502,64.39,서울 종로구,125-5,11110,3
"    19,000",중개거래,1997,2024,평창문화로,00019,00000,11110,01,0,3100023, ,24.03.25,개인,개인, 평창동,0595,0000,11110,18300,1,갑을아파트,2,18,11110-68,32.56,서울 종로구,595,11110,12
"    80,000",직거래,1998,2024,평창문화로,00172,00000,11110,00,존재하지 않음,3100023,102,24.02.28,개인,개인, 평창동,0596,0000,11110,18300,1,삼성,2,19,11110-73,84.93, ,596,11110,7
"   108,000",중개거래,2008,2024,통일로18길,00009,00000,11110,01,0,4100482,113,24.04.16,개인,개인, 무악동,0060,0000,11110,18700,1,인왕산아이파크,2,17,11110-2212,84.858,서울 종로구,60,11110,1
"   128,000",중개거래,2008,2024,통일로18길,00009,00000,11110,01,0,4100482, , ,개인,개인, 무악동,0060,0000,11110,18700,1,인왕산아이파크,2,20,11110-2212,84.858,서울 종로구,60,11110,3
"    97,000",중개거래,2008,2024,통일로18길,00009,00000,11110,01,0,4100482,116,24.04.30,개인,개인, 무악동,0060,0000,11110,18700,1,인왕산아이파크,2,24,11110-2212,59.993,서울 종로구,60,11110,5
"   190,000",중개거래,2008,2024,사직로8길,00004,00000,11110,03,0,4100135, , ,개인,개인, 사직동,0009,0000,11110,11500,1,광화문스페이스본(101동~105동),2,16,11110-2203,159.01,"서울 강남구, 서울 종로구",9,11110,13
"   167,000",중개거래,2008,2024,사직로8길,00004,00000,11110,03,0,4100135,101,24.05.03,개인,개인, 사직동,0009,0000,11110,11500,1,광화문스페이스본(101동~105동),2,23,11110-2203,136.4,서울 종로구,9,11110,11
"    60,000",중개거래,1993,2024,낙산길,00198,00000,11110,02,0,4100020,203,24.04.26,개인,개인, 창신동,0703,0000,11110,17400,1,창신쌍용2,2,2,11110-91,64.66,서울 종로구,703,11110,11
"    57,000",직거래,1993,2024,낙산길,00198,00000,11110,02,0,4100020,204,24.03.22,개인,개인, 창신동,0703,0000,11110,17400,1,창신쌍용2,2,5,11110-91,79.87, ,703,11110,2
"    60,000",중개거래,1999,2024,지봉로5길,00007,00000,11110,01,0,4100390, , ,개인,개인, 창신동,0232,0000,11110,17400,1,두산,2,13,11110-34,59.95,서울 중구,232,11110,2
"    67,000",직거래,1992,2024,동망산길,00019,00000,11110,01,0,4100065,101,24.03.22,개인,개인, 창신동,0702,0000,11110,17400,1,창신쌍용1,2,27,11110-37,54.7, ,702,11110,11
"    12,300",중개거래,2013,2024,종로66길,00028,00000,11110,01,0,4100372, ,24.03.22,개인,개인, 숭인동,0202,0003,11110,17500,1,종로중흥S클래스,2,15,11110-2339,17.811,서울 종로구,202-3,11110,9
"    26,000",중개거래,1997,2024,숭인동1길,00031,00000,11110,01,0,4100200, ,24.04.22,개인,개인, 숭인동,0181,0121,11110,17500,1,도시그린빌라,2,17,11110-44,44.4,서울 종로구,181-121,11110,3
"    11,400",중개거래,2013,2024,난계로29가길,00024,00000,11110,01,0,4100029, ,24.03.11,개인,개인, 숭인동,1421,0001,11110,17500,1,종로동광모닝스카이,2,23,11110-2343,15.855,서울 종로구,1421-1,11110,11
