거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,동,등기일자,매도자,매수자,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층
"    13,400",중개거래,2013,2022,종로66길,00028,00000,11110,01,0,4100372, , , , , 숭인동,0202,0003,11110,17500,1,종로중흥S클래스,10,5,11110-2339,17.811,서울 종로구,202-3,11110,14
"    12,350",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,10,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,500",중개거래,2012,2022,종로58가길,00027,00000,11110,01,0,4100358, , , , , 숭인동,0296,0019,11110,17500,1,삼전솔하임2차,10,13,11110-2322,16.67,서울 종로구,296-19,11110,5
"    12,500",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,13,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,400",중개거래,2013,2022,종로66길,00028,00000,11110,01,0,4100372, , , , , 숭인동,0202,0003,11110,17500,1,종로중흥S클래스,10,5,11110-2339,17.811,서울 종로구,202-3,11110,14
"    12,350",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,10,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,500",중개거래,2012,2022,종로58가길,00027,00000,11110,01,0,4100358, , , , , 숭인동,0296,0019,11110,17500,1,삼전솔하임2차,10,13,11110-2322,16.67,서울 종로구,296-19,11110,5
"    12,500",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,13,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,400",중개거래,2013,2022,종로66길,00028,00000,11110,01,0,4100372, , , , , 숭인동,0202,0003,11110,17500,1,종로중흥S클래스,10,5,11110-2339,17.811,서울 종로구,202-3,11110,14
"    12,350",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,10,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,500",중개거래,2012,2022,종로58가길,00027,00000,11110,01,0,4100358, , , , , 숭인동,0296,0019,11110,17500,1,삼전솔하임2차,10,13,11110-2322,16.67,서울 종로구,296-19,11110,5
"    12,500",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,13,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,400",중개거래,2013,2022,종로66길,00028,00000,11110,01,0,4100372, , , , , 숭인동,0202,0003,11110,17500,1,종로중흥S클래스,10,5,11110-2339,17.811,서울 종로구,202-3,11110,14
"    12,350",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,10,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,500",중개거래,2012,2022,종로58가길,00027,00000,11110,01,0,4100358, , , , , 숭인동,0296,0019,11110,17500,1,삼전솔하임2차,10,13,11110-2322,16.67,서울 종로구,296-19,11110,5
"    12,500",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,13,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,400",중개거래,2013,2022,종로66길,00028,00000,11110,01,0,4100372, , , , , 숭인동,0202,0003,11110,17500,1,종로중흥S클래스,10,5,11110-2339,17.811,서울 종로구,202-3,11110,14
"    12,350",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,10,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,500",중개거래,2012,2022,종로58가길,00027,00000,11110,01,0,4100358, , , , , 숭인동,0296,0019,11110,17500,1,삼전솔하임2차,10,13,11110-2322,16.67,서울 종로구,296-19,11110,5
"    12,500",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,13,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,400",중개거래,2013,2022,종로66길,00028,00000,11110,01,0,4100372, , , , , 숭인동,0202,0003,11110,17500,1,종로중흥S클래스,10,5,11110-2339,17.811,서울 종로구,202-3,11110,14
"    12,350",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,10,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,500",중개거래,2012,2022,종로58가길,00027,00000,11110,01,0,4100358, , , , , 숭인동,0296,0019,11110,17500,1,삼전솔하임2차,10,13,11110-2322,16.67,서울 종로구,296-19,11110,5
"    12,500",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,13,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,400",중개거래,2013,2022,종로66길,00028,00000,11110,01,0,4100372, , , , , 숭인동,0202,0003,11110,17500,1,종로중흥S클래스,10,5,11110-2339,17.811,서울 종로구,202-3,11110,14
"    12,350",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,10,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,500",중개거래,2012,2022,종로58가길,00027,00000,11110,01,0,4100358, , , , , 숭인동,0296,0019,11110,17500,1,삼전솔하임2차,10,13,11110-2322,16.67,서울 종로구,296-19,11110,5
"    12,500",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,13,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,400",중개거래,2013,2022,종로66길,00028,00000,11110,01,0,4100372, , , , , 숭인동,0202,0003,11110,17500,1,종로중흥S클래스,10,5,11110-2339,17.811,서울 종로구,202-3,11110,14
"    12,350",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,10,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,500",중개거래,2012,2022,종로58가길,00027,00000,11110,01,0,4100358, , , , , 숭인동,0296,0019,11110,17500,1,삼전솔하임2차,10,13,11110-2322,16.67,서울 종로구,296-19,11110,5
"    12,500",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,13,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,400",중개거래,2013,2022,종로66길,00028,00000,11110,01,0,4100372, , , , , 숭인동,0202,0003,11110,17500,1,종로중흥S클래스,10,5,11110-2339,17.811,서울 종로구,202-3,11110,14
"    12,350",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,10,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,500",중개거래,2012,2022,종로58가길,00027,00000,11110,01,0,4100358, , , , , 숭인동,0296,0019,11110,17500,1,삼전솔하임2차,10,13,11110-2322,16.67,서울 종로구,296-19,11110,5
"    12,500",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,13,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,400",중개거래,2013,2022,종로66길,00028,00000,11110,01,0,4100372, , , , , 숭인동,0202,0003,11110,17500,1,종로중흥S클래스,10,5,11110-2339,17.811,서울 종로구,202-3,11110,14
"    12,350",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,10,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,500",중개거래,2012,2022,종로58가길,00027,00000,11110,01,0,4100358, , , , , 숭인동,0296,0019,11110,17500,1,삼전솔하임2차,10,13,11110-2322,16.67,서울 종로구,296-19,11110,5
"    12,500",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,13,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,400",중개거래,2013,2022,종로66길,00028,00000,11110,01,0,4100372, , , , , 숭인동,0202,0003,11110,17500,1,종로중흥S클래스,10,5,11110-2339,17.811,서울 종로구,202-3,11110,14
"    12,350",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,10,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,500",중개거래,2012,2022,종로58가길,00027,00000,11110,01,0,4100358, , , , , 숭인동,0296,0019,11110,17500,1,삼전솔하임2차,10,13,11110-2322,16.67,서울 종로구,296-19,11110,5
"    12,500",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,13,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,400",중개거래,2013,2022,종로66길,00028,00000,11110,01,0,4100372, , , , , 숭인동,0202,0003,11110,17500,1,종로중흥S클래스,10,5,11110-2339,17.811,서울 종로구,202-3,11110,14
"    12,350",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,10,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,500",중개거래,2012,2022,종로58가길,00027,00000,11110,01,0,4100358, , , , , 숭인동,0296,0019,11110,17500,1,삼전솔하임2차,10,13,11110-2322,16.67,서울 종로구,296-19,11110,5
"    12,500",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,13,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,400",중개거래,2013,2022,종로66길,00028,00000,11110,01,0,4100372, , , , , 숭인동,0202,0003,11110,17500,1,종로중흥S클래스,10,5,11110-2339,17.811,서울 종로구,202-3,11110,14
"    12,350",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,10,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,500",중개거래,2012,2022,종로58가길,00027,00000,11110,01,0,4100358, , , , , 숭인동,0296,0019,11110,17500,1,삼전솔하임2차,10,13,11110-2322,16.67,서울 종로구,296-19,11110,5
"    12,500",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,13,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,400",중개거래,2013,2022,종로66길,00028,00000,11110,01,0,4100372, , , , , 숭인동,0202,0003,11110,17500,1,종로중흥S클래스,10,5,11110-2339,17.811,서울 종로구,202-3,11110,14
"    12,350",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,10,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,500",중개거래,2012,2022,종로58가길,00027,00000,11110,01,0,4100358, , , , , 숭인동,0296,0019,11110,17500,1,삼전솔하임2차,10,13,11110-2322,16.67,서울 종로구,296-19,11110,5
"    12,500",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,13,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,400",중개거래,2013,2022,종로66길,00028,00000,11110,01,0,4100372, , , , , 숭인동,0202,0003,11110,17500,1,종로중흥S클래스,10,5,11110-2339,17.811,서울 종로구,202-3,11110,14
"    12,350",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,10,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,500",중개거래,2012,2022,종로58가길,00027,00000,11110,01,0,4100358, , , , , 숭인동,0296,0019,11110,17500,1,삼전솔하임2차,10,13,11110-2322,16.67,서울 종로구,296-19,11110,5
"    12,500",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,13,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,400",중개거래,2013,2022,종로66길,00028,00000,11110,01,0,4100372, , , , , 숭인동,0202,0003,11110,17500,1,종로중흥S클래스,10,5,11110-2339,17.811,서울 종로구,202-3,11110,14
"    12,350",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,10,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,500",중개거래,2012,2022,종로58가길,00027,00000,11110,01,0,4100358, , , , , 숭인동,0296,0019,11110,17500,1,삼전솔하임2차,10,13,11110-2322,16.67,서울 종로구,296-19,11110,5
"    12,500",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,13,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,400",중개거래,2013,2022,종로66길,00028,00000,11110,01,0,4100372, , , , , 숭인동,0202,0003,11110,17500,1,종로중흥S클래스,10,5,11110-2339,17.811,서울 종로구,202-3,11110,14
"    12,350",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,10,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,500",중개거래,2012,2022,종로58가길,00027,00000,11110,01,0,4100358, , , , , 숭인동,0296,0019,11110,17500,1,삼전솔하임2차,10,13,11110-2322,16.67,서울 종로구,296-19,11110,5
"    12,500",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,13,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,400",중개거래,2013,2022,종로66길,00028,00000,11110,01,0,4100372, , , , , 숭인동,0202,0003,11110,17500,1,종로중흥S클래스,10,5,11110-2339,17.811,서울 종로구,202-3,11110,14
"    12,350",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,10,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,500",중개거래,2012,2022,종로58가길,00027,00000,11110,01,0,4100358, , , , , 숭인동,0296,0019,11110,17500,1,삼전솔하임2차,10,13,11110-2322,16.67,서울 종로구,296-19,11110,5
"    12,500",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,13,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,400",중개거래,2013,2022,종로66길,00028,00000,11110,01,0,4100372, , , , , 숭인동,0202,0003,11110,17500,1,종로중흥S클래스,10,5,11110-2339,17.811,서울 종로구,202-3,11110,14
"    12,350",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,10,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,500",중개거래,2012,2022,종로58가길,00027,00000,11110,01,0,4100358, , , , , 숭인동,0296,0019,11110,17500,1,삼전솔하임2차,10,13,11110-2322,16.67,서울 종로구,296-19,11110,5
"    12,500",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,13,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,400",중개거래,2013,2022,종로66길,00028,00000,11110,01,0,4100372, , , , , 숭인동,0202,0003,11110,17500,1,종로중흥S클래스,10,5,11110-2339,17.811,서울 종로구,202-3,11110,14
"    12,350",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,10,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,500",중개거래,2012,2022,종로58가길,00027,00000,11110,01,0,4100358, , , , , 숭인동,0296,0019,11110,17500,1,삼전솔하임2차,10,13,11110-2322,16.67,서울 종로구,296-19,11110,5
"    12,500",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,13,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,400",중개거래,2013,2022,종로66길,00028,00000,11110,01,0,4100372, , , , , 숭인동,0202,0003,11110,17500,1,종로중흥S클래스,10,5,11110-2339,17.811,서울 종로구,202-3,11110,14
"    12,350",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,10,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,500",중개거래,2012,2022,종로58가길,00027,00000,11110,01,0,4100358, , , , , 숭인동,0296,0019,11110,17500,1,삼전솔하임2차,10,13,11110-2322,16.67,서울 종로구,296-19,11110,5
"    12,500",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,13,11110-2368,15.09,서울 종로구,318-2,11110,17
"    13,400",중개거래,2013,2022,종로66길,00028,00000,11110,01,0,4100372, , , , , 숭인동,0202,0003,11110,17500,1,종로중흥S클래스,10,5,11110-2339,17.811,서울 종로구,202-3,11110,14
"    12,350",중개거래,2014,2022,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,10,10,11110-2368,15.09,서울 종로구,318-2,11110,17
